model,fold,train_until,test_year,n_train,n_test,MAE,RMSE,R2,MAPE_%
LR,1,2021,2022,2565,324,382522.78,723450.07,0.9761,22.22
LR,2,2022,2023,2889,324,328723.61,429376.25,0.9936,42.19
LR,3,2023,2024,3213,324,222591.7,359636.03,0.9962,18.94
RF,1,2021,2022,2565,324,804731.12,1916806.26,0.8321,19.28
RF,2,2022,2023,2889,324,335316.91,623614.43,0.9865,10.58
RF,3,2023,2024,3213,324,217774.79,430908.0,0.9945,8.6
XGB,1,2021,2022,2565,324,888266.06,2068329.94,0.8045,22.45
XGB,2,2022,2023,2889,324,463740.3,978790.34,0.9666,11.8
XGB,3,2023,2024,3213,324,187814.58,398613.67,0.9953,6.57
