model,fold,train_until,test_year,n_train,n_test,MAE,RMSE,R2,MAPE_%
LR,1,2021,2022,154,25,3960405.55,6344208.09,-0.6181,99.78
LR,2,2022,2023,179,26,2254392.14,2374975.15,0.8204,580.26
LR,3,2023,2024,205,26,1370626.61,1810391.96,0.904,298.79
RF,1,2021,2022,154,25,1944939.72,3157496.93,0.5992,42.61
RF,2,2022,2023,179,26,1089839.33,2080547.2,0.8622,25.37
RF,3,2023,2024,205,26,586665.51,879617.31,0.9773,22.53
XGB,1,2021,2022,154,25,1959860.85,3257786.07,0.5733,42.71
XGB,2,2022,2023,179,26,1610065.87,3338245.27,0.6452,28.35
XGB,3,2023,2024,205,26,516514.13,796320.64,0.9814,22.79
